,building,walkMbta,numCraigslistHouse,walkUniversity,house,numCraigslistRoom,sky,lake,crime,person,walkSchool,car,walkPark,grass,sidewalk,road
135,0,4,0,6,0,0,0,0,3,0,10,0,29,0,0,0
136,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
137,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
138,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
139,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
140,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
141,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
142,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
143,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
144,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
145,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
146,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
147,0,4,0,6,0,0,0,0,3,0,10,0,29,0,0,0
148,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
149,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
150,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
151,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
152,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
153,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
154,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
