,index,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQFT,SQM,Price,PricePerSQM
33,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10704800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,260.9,0.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.252857,-71.11705,976,2108.0,1.0,1.0,575.0,53.419225,2950.0,55.2235641756
34,58.0,0.0,0.035,50.87,1.745,0.0,0.514,2.51,258957439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,22.0,6.0,0.0,2.51,4.223,0.0,38.0,14.0,2.564,0.0,0.0,0.116,1.925,0.0,0.04,1.297,0.0,0.0,0.0,0.0,23.75,42.358036,-71.069695,2716,2108.0,2.0,2.0,900.0,83.6127,3200.0,38.2716979598
35,65.0,0.0,0.018,23.85,7.066,0.0,1.619,0.236,120456350.0,0.0,0.0,0.0,0.0,0.0,0.224,0.0,3.0,0.0,21.0,3.0,0.0,0.236,5.788,0.27,35.0,5.0,2.553,0.0,0.0,0.0,2.429,0.0,0.248,0.707,0.15,0.0,0.0,0.0,13.28,42.357105,-71.071106,917,2108.0,2.0,1.5,900.0,83.6127,3500.0,41.8596696435
36,67.0,0.0,0.0,43.3,3.583,0.0,2.257,4.928,18049700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742,5.0,0.0,11.0,0.0,212.2,4.928,2.022,0.39,10.0,0.0,2.738,0.0,0.017,0.653,2.387,0.022,0.075,1.17,0.0,0.0,0.0,0.0,10.64,42.303974,-71.07125,2750,2108.0,1.0,1.0,570.0,52.95471,2050.0,38.7123260613
37,68.0,0.0,0.004,34.12,0.217,0.0,4.409,22.56,173725104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,31.0,6.0,145.0,22.56,0.0,0.0,34.0,18.0,1.013,0.0,0.0,0.175,2.47,0.0,0.068,0.078,0.952,0.0,0.0,0.0,27.81,42.356773,-71.06997,2733,2108.0,2.0,1.0,797.0,74.043691,3850.0,51.9963274116
38,71.0,0.0,0.004,34.12,0.217,0.0,4.409,22.56,173725104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,31.0,6.0,145.0,22.56,0.0,0.0,34.0,18.0,1.013,0.0,0.0,0.175,2.47,0.0,0.068,0.078,0.952,0.0,0.0,0.0,27.81,42.356266,-71.070145,2733,2108.0,2.0,2.0,1500.0,139.3545,5200.0,37.3149055108
39,78.0,0.0,0.0,89.47,3.715,0.0,0.743,0.0,269677724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,32.0,11.0,532.1,0.0,0.0,0.085,46.0,22.0,1.04,0.0,0.0,0.0,1.331,0.0,0.327,0.0,0.0,0.0,0.0,0.0,0.0,42.357246,-71.06,1860,2108.0,3.0,4.0,2837.0,263.565811,35000.0,132.794158192
40,79.0,0.0,0.004,34.12,0.217,0.0,4.409,22.56,173725104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,31.0,6.0,145.0,22.56,0.0,0.0,34.0,18.0,1.013,0.0,0.0,0.175,2.47,0.0,0.068,0.078,0.952,0.0,0.0,0.0,27.81,42.35684,-71.06867,813,2108.0,2.0,2.0,1400.0,130.0642,3695.0,28.4090472244
41,82.0,0.0,0.0,43.3,3.583,0.0,2.257,4.928,18049700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742,5.0,0.0,11.0,0.0,212.2,4.928,2.022,0.39,10.0,0.0,2.738,0.0,0.017,0.653,2.387,0.022,0.075,1.17,0.0,0.0,0.0,0.0,10.64,42.303974,-71.07125,2750,2108.0,1.0,1.0,768.0,71.349504,2200.0,30.834131657
42,83.0,0.0,0.0,43.3,3.583,0.0,2.257,4.928,18049700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742,5.0,0.0,11.0,0.0,212.2,4.928,2.022,0.39,10.0,0.0,2.738,0.0,0.017,0.653,2.387,0.022,0.075,1.17,0.0,0.0,0.0,0.0,10.64,42.303974,-71.07125,2750,2108.0,1.0,1.0,570.0,52.95471,2400.0,45.3217475839
