	Latitude	Longitude	Address	Zip	Price	RoomType	Bathrooms	SQFT	Date
167	42.36748	-71.054405	12 Foster St #5 Boston 02109	2109	3000.0	3	1.0		30/11/2016
168	42.367596	-71.054306	16 Foster St Boston 02109	2109	1800.0	1	1.0	408	30/11/2016
169	42.36569	-71.052765	8 Harris St Boston 02109	2109	2500.0	1	1.0		30/11/2016
170	42.36652	-71.05189	386 Commercial St #3B Boston 02109	2109	2650.0		1.0	380	30/11/2016
171	42.364586	-71.052345	36 Fleet St Boston 02109	2109	2200.0	1	1.0	600	30/11/2016
172	42.364586	-71.052345	36 Fleet St #5 Boston 02109	2109	2200.0	1	1.0	550	30/11/2016
173	42.361576	-71.053276	82 Commercial St Boston 02109	2109	2800.0	2	1.5		30/11/2016
174	42.36569	-71.052765	8 Harris St #6 Boston 02109	2109	2500.0	1	1.0		30/11/2016
175	42.36648	-71.05226	16 Battery St Boston 02109	2109	2400.0	2	1.0		30/11/2016
176	42.36648	-71.05226	16 Battery St #REAR1 Boston 02109	2109	2399.0	2	1.0		30/11/2016
177	42.36648	-71.05226	16 Battery St #1F Boston 02109	2109	1800.0		1.0		30/11/2016
178	42.36648	-71.05226	16 Battery St #1R116 Boston 02109	2109	2400.0	2	2.0		30/11/2016
179	42.36648	-71.05226	16 Battery St #1R Boston 02109	2109	2400.0	2	1.0		30/11/2016
180	42.36648	-71.05226	16 Battery St #1 Boston 02109	2109	1800.0	1	1.0		30/11/2016
181	42.362877	-71.05236	143 Fulton St #3 Boston 02109	2109	1750.0		1.0	550	30/11/2016
182	42.367702	-71.054535	488 Commercial St #1 Boston 02109	2109	2200.0	2	2.0	1000	30/11/2016
183	42.366226	-71.05108	357 Commercial St #703 Boston 02109	2109	2700.0	2	1.0		30/11/2016
184	42.366215	-71.05181	376 Commercial St #4D Boston 02109	2109	3900.0	2	2.5	1250	30/11/2016
185	42.367702	-71.054535	488 Commercial St #1 Boston 02109	2109	2200.0	2	2.0	1000	30/11/2016
