longitude,latitude,bathrooms,last_sold_price,zestimate_amount,prices,property_size,zip,zestimate_valuation_range_high,long,tax_year,zestimate_value_change,status,zestimate_percentile,bedrooms,zestimate_last_updated,zillow_id,address,lat,last_sold_date,tax_value,zillow,year_built,zestimate_valuationRange_low,graph_data_link,home_size,home_detail_link,home_type,property,map_this_home_link
-71.068565,42.322303,4,,,"549,900",,2119,,-71.068565,,,Condo For Sale,0,3,12/31/1969,2096376272,"29 Robey St # 29, Boston, MA",42.322304,,,0,2016,,,1700,http://www.zillow.com/homedetails/29-Robey-St-29-Boston-MA-02119/2096376272_zpid/,Condominium,0,http://www.zillow.com/homes/2096376272_zpid/
-71.039063,42.331554,2,400000,632267,"629,000",1012,2127,663880,-71.039051,2015,5758,Condo For Sale,0,2,11/12/2016,81857241,"560 E 8th St UNIT 1, South Boston, MA",42.3315538,09/11/2009,437500,0,1890,594331,http://www.zillow.com/homedetails/560-E-8th-St-UNIT-1-South-Boston-MA-02127/81857241_zpid/#charts-and-data,1012,http://www.zillow.com/homedetails/560-E-8th-St-UNIT-1-South-Boston-MA-02127/81857241_zpid/,Condominium,0,http://www.zillow.com/homes/81857241_zpid/
-71.062724,42.353277,3,1800000,2756883,"2,600,000",2036,2111,3005002,-71.0625369,2014,-64380,Condo For Sale,0,3,11/12/2016,61319763,"1 Avery St APT 23D, Boston, MA",42.3532598,10/07/2009,1709657,0,2000,2619039,http://www.zillow.com/homedetails/1-Avery-St-APT-23D-Boston-MA-02111/61319763_zpid/#charts-and-data,2036,http://www.zillow.com/homedetails/1-Avery-St-APT-23D-Boston-MA-02111/61319763_zpid/,Condominium,0,http://www.zillow.com/homes/61319763_zpid/
-71.059969,42.357031,4,3999000,5170819,"4,499,000",,2108,5429360,-71.0599532,2014,35175,Condo For Sale,0,3,11/12/2016,102987538,"45 Province St APT 2502, Boston, MA",42.3572816,08/16/2013,3148923,0,2009,4912278,http://www.zillow.com/homedetails/45-Province-St-APT-2502-Boston-MA-02108/102987538_zpid/#charts-and-data,2872,http://www.zillow.com/homedetails/45-Province-St-APT-2502-Boston-MA-02108/102987538_zpid/,Condominium,0,http://www.zillow.com/homes/102987538_zpid/
-71.050708,42.35792,1,379000,837740,"839,000",,2110,896382,-71.0504859,2014,-26746,Condo For Sale,0,1,11/12/2016,59175134,"65 E India Row APT 26G, Boston, MA",42.3576699,11/29/2007,603977,0,1970,762343,http://www.zillow.com/homedetails/65-E-India-Row-APT-26G-Boston-MA-02110/59175134_zpid/#charts-and-data,974,http://www.zillow.com/homedetails/65-E-India-Row-APT-26G-Boston-MA-02110/59175134_zpid/,Condominium,0,http://www.zillow.com/homes/59175134_zpid/
-71.12046,42.286727,3,240000,304110,"299,000",,2128,322357,-71.0387459,2015,14645,Condo For Sale,0,3,11/12/2016,59141173,"13 Marion St APT F, Boston, MA",42.3801793,03/01/2004,215600,0,1987,285863,http://www.zillow.com/homedetails/13-Marion-St-APT-F-Boston-MA-02131/59141173_zpid/#charts-and-data,1729,http://www.zillow.com/homedetails/13-Marion-St-APT-F-Boston-MA-02131/59141173_zpid/,Condominium,0,http://www.zillow.com/homes/59141173_zpid/
-71.139434,42.289455,2,,524448,"499,900",4791,2131,550670,-71.139435,,7645,Condo For Sale,0,3,11/12/2016,2122703759,"57 Bradfield Ave, Boston, MA",42.2894549,,,0,1910,498226,,1887,http://www.zillow.com/homedetails/57-Bradfield-Ave-Boston-MA-02131/2122703759_zpid/,Condominium,0,http://www.zillow.com/homes/2122703759_zpid/
-71.030238,42.380672,3,355000,537277,"1,200,000",2613,2128,607123,-71.030238,2014,75566,Apartment For Sale,0,6,11/12/2016,59122072,"266 Lexington St, Boston, MA",42.380671,06/24/2016,233600,0,1930,429822,http://www.zillow.com/homedetails/266-Lexington-St-Boston-MA-02128/59122072_zpid/#charts-and-data,2310,http://www.zillow.com/homedetails/266-Lexington-St-Boston-MA-02128/59122072_zpid/,MultiFamily2To4,0,http://www.zillow.com/homes/59122072_zpid/
-71.139434,42.289455,2,380000,507384,"499,900",4791,2131,547975,-71.139435,2014,64788,Condo For Sale,0,3,11/12/2016,81859724,"57 Bradfield Ave UNIT 2, Boston, MA",42.2894549,12/14/2006,288700,0,1910,471867,http://www.zillow.com/homedetails/57-Bradfield-Ave-UNIT-2-Boston-MA-02131/81859724_zpid/#charts-and-data,1887,http://www.zillow.com/homedetails/57-Bradfield-Ave-UNIT-2-Boston-MA-02131/81859724_zpid/,Condominium,0,http://www.zillow.com/homes/81859724_zpid/
-71.081756,42.352287,,,,"4,900,000",1742,2116,,-71.081757,,,Apartment For Sale,0,0,12/31/1969,2096359832,"237 Marlborough St, Boston, MA",42.352286,,,0,1899,,,5640,http://www.zillow.com/homedetails/237-Marlborough-St-Boston-MA-02116/2096359832_zpid/,MultiFamily2To4,0,http://www.zillow.com/homes/2096359832_zpid/
