pixelBuilding,walkMbta,numCraigslistHouse,walkUniversity,pixelHouse,numCraigslistRoom,pixelSky,pixelLake,numCrime,pixelPerson,walkSchool,pixelCar,walkPark,pixelGrass,pixelSidewalk,pixelRoad,Latitude,Longitude,Zip,Bathrooms,SQFT,Price
0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716,42.36752,-71.05388,2109,1,475,1800
0,4,0,6,0,0,0,0,3,0,10,0,29,0,0,0,42.36414,-71.05193,2109,1,464,2200
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.36596,-71.05202,2109,1,,1500
0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0,42.357876,-71.05435,2109,1,650,3100
0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238,42.362106,-71.053185,2109,1,887,2500
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.36652,-71.05189,2109,1,380,2650
0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067,42.36304,-71.05275,2109,2,1240,4300
0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0,42.357876,-71.05435,2109,4,2300,6000
0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0,42.357876,-71.05435,2109,1,700,2600
0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0,42.357876,-71.05435,2109,1,,2595
0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0,42.357876,-71.05435,2109,1,700,2500
0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0,42.357876,-71.05435,2109,2,1150,3000
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366226,-71.05108,2109,1,900,2950
0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716,42.367596,-71.054306,2109,1,,1800
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366226,-71.05108,2109,1.5,905,3500
0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854,42.358784,-71.05696,2109,2,1300,3865
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36648,-71.05226,2109,1,,2400
0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067,42.36277,-71.05315,2109,1,598,2500
0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854,42.35933,-71.05491,2109,2.5,995,3350
0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854,42.35933,-71.05491,2109,1,600,2350
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366226,-71.05108,2109,1.5,,2700
0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716,42.36748,-71.054405,2109,1,,3000
0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716,42.367596,-71.054306,2109,1,408,1800
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36569,-71.052765,2109,1,,2500
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.36652,-71.05189,2109,1,380,2650
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.364586,-71.052345,2109,1,600,2200
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.364586,-71.052345,2109,1,550,2200
0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238,42.361576,-71.053276,2109,1.5,,2800
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36569,-71.052765,2109,1,,2500
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36648,-71.05226,2109,1,,2400
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36648,-71.05226,2109,1,,2399
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36648,-71.05226,2109,1,,1800
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36648,-71.05226,2109,2,,2400
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36648,-71.05226,2109,1,,2400
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36648,-71.05226,2109,1,,1800
0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067,42.362877,-71.05236,2109,1,550,1750
0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716,42.367702,-71.054535,2109,2,1000,2200
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366226,-71.05108,2109,1,,2700
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366215,-71.05181,2109,2.5,1250,3900
0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716,42.367702,-71.054535,2109,2,1000,2200
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36499,-71.052605,2109,1,550,2300
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36569,-71.052765,2109,1,,2500
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.364964,-71.052536,2109,1,,1900
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36523,-71.05233,2109,1,500,2000
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366226,-71.05108,2109,1,950,2700
0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067,42.36277,-71.05315,2109,2,,2800
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.365883,-71.05176,2109,1,,1550
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.365074,-71.05269,2109,1,,1900
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36593,-71.05241,2109,1,600,1800
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.365963,-71.051926,2109,1,,1550
0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226,42.36648,-71.05226,2109,2,,2495
0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238,42.36195,-71.05332,2109,1,1200,3000
0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0,42.357876,-71.05435,2109,2,1200,2990
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.36513,-71.05145,2109,1,577,2500
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366226,-71.05108,2109,2,1243,3200
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366226,-71.05108,2109,1.5,,2800
0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219,42.366226,-71.05108,2109,1,800,2300
0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067,42.362297,-71.05264,2109,1,850,2550
