pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,longitude,latitude,bathrooms,last_sold_price,zestimate_amount,prices,property_size,zip,zestimate_valuation_range_high,long,tax_year,zestimate_value_change,status,zestimate_percentile,bedrooms,zestimate_last_updated,zillow_id,address,lat,last_sold_date,tax_value,zillow,year_built,zestimate_valuationRange_low,graph_data_link,home_size,home_detail_link,home_type,property,map_this_home_link
1.783,0,66.22,1.271,0,8.961,0.239,25332093,0,0,0,0,1.008,0,0,9,0,8,1,0,0.239,0.031,0.005,5,0,0.262,0,0.003,0,0.908,0,0.197,0.001,0,5.05,0,0,0.091,-71.048806,42.338717,2,,,1195000 ,,2127,,-71.0542787,,,New Construction,0,2,12/31/1969,2096367727,"45 W 3rd St # 410, Boston, MA",42.342376,,,0,,,,1250,http://www.zillow.com/homedetails/45-W-3rd-St-410-Boston-MA-02127/2096367727_zpid/,Condominium,0,http://www.zillow.com/homes/2096367727_zpid/
0,0,0,0,0,0,0,209154155,0,0,0,0,0,0,0,10,0,30,10,335.7,0,0,0,46,22,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.059339,42.352627,1,525000,858577,825000 ,,2111,901506,-71.0592399,2014,40290,Condo For Sale,0,1,11/12/2016,71546197,"88 Kingston St UNIT 1F, Boston, MA",42.3526558,8/21/2013,532300,0,1899,815648,http://www.zillow.com/homedetails/88-Kingston-St-UNIT-1F-Boston-MA-02111/71546197_zpid/#charts-and-data,1051,http://www.zillow.com/homedetails/88-Kingston-St-UNIT-1F-Boston-MA-02111/71546197_zpid/,Condominium,0,http://www.zillow.com/homes/71546197_zpid/
1.783,0,66.22,1.271,0,8.961,0.239,25332093,0,0,0,0,1.008,0,0,9,0,8,1,0,0.239,0.031,0.005,5,0,0.262,0,0.003,0,0.908,0,0.197,0.001,0,5.05,0,0,0.091,-71.048806,42.338717,1,,,735000 ,,2127,,-71.0542787,,,New Construction,0,1,12/31/1969,2096367728,"45 W 3rd St # 401, Boston, MA",42.342376,,,0,,,,755,http://www.zillow.com/homedetails/45-W-3rd-St-401-Boston-MA-02127/2096367728_zpid/,Condominium,0,http://www.zillow.com/homes/2096367728_zpid/
0,0,0.183,0,0,0.001,0,13234534,0,0,0,0,0,0,0,5,0,13,2,8.9,0,0,0,7,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,-71.040138,42.375031,1,,,348000 ,,2128,,-71.0396313,,,Condo For Sale,0,0,12/31/1969,2096369134,"225 Border St, Boston, MA",42.375902,,,0,2016,,,450,http://www.zillow.com/homedetails/225-Border-St-Boston-MA-02128/2096369134_zpid/,Condominium,0,http://www.zillow.com/homes/2096369134_zpid/
0,0,0,0,0,0,0,13660400,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.049526,42.288834,4,,,799000 ,,2122,,-71.0486505,,,Condo For Sale,0,3,12/31/1969,2096363796,"47 Coffey St # 0, Boston, MA",42.288965,,,0,,,,1800,http://www.zillow.com/homedetails/47-Coffey-St-0-Boston-MA-02122/2096363796_zpid/,Condominium,0,http://www.zillow.com/homes/2096363796_zpid/
0,0,2.447,0.099,0,0.001,0.023,6067821,0,0,0.006,0,0,0,0,1,0,11,0,0,0.023,2.697,0.069,17,0,0.765,0,0,0.108,0.013,0.004,0.162,0,0,0,0,0,2.129,-71.06837,42.322406,4,,,549900 ,,2119,,-71.068565,,,Condo For Sale,0,3,12/31/1969,2096376271,"31 Robey St # 31, Boston, MA",42.322304,,,0,2016,,,1700,http://www.zillow.com/homedetails/31-Robey-St-31-Boston-MA-02119/2096376271_zpid/,Condominium,0,http://www.zillow.com/homes/2096376271_zpid/
0,0,64.47,2.905,0,0.008,0.223,31038055,0,0,0,0,0,0,1.645,7,0,14,2,58.5,0.223,0.006,0.207,9,0,4.977,0,0,0,0.288,0,0.167,0,0,0,0,2,14.18,-71.03569,42.374401,2,,,590000 ,,2128,,-71.035687,,,Condo For Sale,0,2,12/31/1969,2096375497,"186-188 Paris St # 8, Boston, MA",42.374401,,,0,2016,,,991,http://www.zillow.com/homedetails/186-188-Paris-St-8-Boston-MA-02128/2096375497_zpid/,Condominium,0,http://www.zillow.com/homes/2096375497_zpid/
0,0,0.321,4.04,0,0.001,0.614,12854318,0,0,0,0,0,0,0,4,0,14,1,0,0.614,0.304,0.155,14,1,0.527,0,0.001,0,0.457,0,0.203,0,0,0,0,0,5.967,-71.092124,42.319999,2,141500,213837,226970 ,,2119,241636,-71.0919591,2014,-143659,Condo For Sale,0,2,11/12/2016,81856655,"18 Brinton St UNIT 2, Roxbury, MA",42.320036,5/30/2007,189600,0,2006,186038,http://www.zillow.com/homedetails/18-Brinton-St-UNIT-2-Roxbury-MA-02119/81856655_zpid/#charts-and-data,1307,http://www.zillow.com/homedetails/18-Brinton-St-UNIT-2-Roxbury-MA-02119/81856655_zpid/,Condominium,0,http://www.zillow.com/homes/81856655_zpid/
0,0.177,61.21,2.199,0,1.066,1.62,115954000,0,0,0,0,0,0,0,24,0,21,2,73.2,1.62,0.001,0.179,27,3,6.874,0,0,0.008,2.622,0,0.051,0,0,0,0,0,18.76,-71.076304,42.352174,2,277000,1051110,999000 ,,2116,1145710,-71.0768204,2015,-61029,Condo For Sale,0,1,11/12/2016,59176559,"118 Commonwealth Ave UNIT 4, Boston, MA",42.3519146,9/1/1987,755200,0,1885,967021,http://www.zillow.com/homedetails/118-Commonwealth-Ave-UNIT-4-Boston-MA-02116/59176559_zpid/#charts-and-data,1010,http://www.zillow.com/homedetails/118-Commonwealth-Ave-UNIT-4-Boston-MA-02116/59176559_zpid/,Condominium,0,http://www.zillow.com/homes/59176559_zpid/
1.783,0,66.22,1.271,0,8.961,0.239,25332093,0,0,0,0,1.008,0,0,9,0,8,1,0,0.239,0.031,0.005,5,0,0.262,0,0.003,0,0.908,0,0.197,0.001,0,5.05,0,0,0.091,-71.048806,42.338717,1,,,730000 ,,2127,,-71.0542787,,,New Construction,0,1,12/31/1969,2096367726,"45 W 3rd St # 418, Boston, MA",42.342376,,,0,,,,774,http://www.zillow.com/homedetails/45-W-3rd-St-418-Boston-MA-02127/2096367726_zpid/,Condominium,0,http://www.zillow.com/homes/2096367726_zpid/
